country_name,region
Albania,Central Europe
Armenia,Central Europe
Azerbaijan,Central Europe
Belarus,Central Europe
Bosnia & Herzegovina,Central Europe
Bulgaria,Central Europe
Czechia,Central Europe
Croatia,Central Europe
Georgia,Central Europe
Hungary,Central Europe
Moldova,Central Europe
Montenegro,Central Europe
North Macedonia,Central Europe
Poland,Central Europe
Romania,Central Europe
Russia,Central Europe
Serbia,Central Europe
Slovakia,Central Europe
Slovenia,Central Europe
Ukraine,Central Europe
Denmark,Northern Europe
Estonia,Northern Europe
Finland,Northern Europe
Iceland,Northern Europe
Latvia,Northern Europe
Lithuania,Northern Europe
Norway,Northern Europe
Sweden,Northern Europe
Cyprus,Southern Europe
Greece,Southern Europe
Holy See,Southern Europe
Italy,Southern Europe
Malta,Southern Europe
Portugal,Southern Europe
San Marino,Southern Europe
Spain,Southern Europe
Turkey,Southern Europe
Andorra,Western Europe
Austria,Western Europe
Belgium,Western Europe
France,Western Europe
Germany,Western Europe
Ireland,Western Europe
Liechtenstein,Western Europe
Luxembourg,Western Europe
Monaco,Western Europe
Netherlands,Western Europe
Switzerland,Western Europe
United Kingdom,Western Europe
